date,name,category,value,lastValue
48,HIV/AIDS,,118523,116245
48,Malaria,,93355,90325
48,Typhoid,,19299,18789
48,Whooping cough,,18295,17984
48,Encephalitis(brain inflammation),,13417,13186
48,STI(not including HIV),,14316,13958
48,Measles,,12539,12409
48,Hepatitis,,10555,10295
48,Salmonella,,10750,10554
48,Dengue,,3548,3502
48,Tetanus,,4835,4757
48,COVID-19,,1868,1770
49,Lower Respiratory,,335754,328892
49,Diarrhea,,215510,211808
49,Tuberculosis,,159398,155950
49,HIV/AIDS,,120999,118523
49,Malaria,,95493,93355
49,Typhoid,,19704,19299
49,Whooping cough,,18583,18295
49,Encephalitis(brain inflammation),,13712,13417
49,STI(not including HIV),,14479,14316
49,Measles,,12846,12539
49,Hepatitis,,10799,10555
49,Salmonella,,10978,10750
49,Dengue,,3669,3548
49,Tetanus,,4937,4835
49,COVID-19,,2008,1868
50,Lower Respiratory,,342454,335754
50,Diarrhea,,221351,215510
50,Tuberculosis,,162602,159398
50,HIV/AIDS,,123333,120999
50,Malaria,,97075,95493
50,Typhoid,,20083,19704
50,Whooping cough,,18774,18583
50,Encephalitis(brain inflammation),,14023,13712
50,STI(not including HIV),,14723,14479
50,Measles,,13120,12846
50,Hepatitis,,11034,10799
50,Salmonella,,11252,10978
50,Dengue,,3790,3669
50,Tetanus,,5009,4937
50,COVID-19,,2123,2008
51,Lower Respiratory,,349480,342454
51,Diarrhea,,226249,221351
51,Tuberculosis,,165731,162602
51,HIV/AIDS,,125607,123333
51,Malaria,,99678,97075
51,Typhoid,,20686,20083
51,Whooping cough,,18995,18774
51,Encephalitis(brain inflammation),,14310,14023
51,STI(not including HIV),,15185,14723
51,Measles,,13275,13120
51,Hepatitis,,11249,11034
51,Salmonella,,11591,11252
51,Dengue,,3834,3790
51,Tetanus,,5093,5009
51,COVID-19,,2248,2123
52,Lower Respiratory,,356368,349480
52,Diarrhea,,229768,226249
52,Tuberculosis,,169282,165731
52,HIV/AIDS,,127847,125607
52,Malaria,,102748,99678
52,Typhoid,,20996,20686
52,Whooping cough,,19156,18995
52,Encephalitis(brain inflammation),,14619,14310
52,STI(not including HIV),,15602,15185
52,Measles,,13510,13275
52,Hepatitis,,11483,11249
52,Salmonella,,11745,11591
52,Dengue,,3877,3834
52,Tetanus,,5171,5093
52,COVID-19,,2252,2248
53,Lower Respiratory,,363153,356368
53,Diarrhea,,232951,229768
53,Tuberculosis,,172838,169282
53,HIV/AIDS,,130342,127847
53,Malaria,,105171,102748
53,Typhoid,,21512,20996
53,Whooping cough,,19725,19156
53,Encephalitis(brain inflammation),,14830,14619
53,STI(not including HIV),,15913,15602
53,Measles,,13605,13510
53,Hepatitis,,11703,11483
53,Salmonella,,11889,11745
53,Dengue,,3989,3877
53,Tetanus,,5276,5171
53,COVID-19,,2459,2252
54,Lower Respiratory,,369506,363153
54,Diarrhea,,238221,232951
54,Tuberculosis,,176294,172838
54,HIV/AIDS,,132900,130342
54,Malaria,,107654,105171
54,Typhoid,,21941,21512
54,Whooping cough,,20135,19725
54,Encephalitis(brain inflammation),,15079,14830
54,STI(not including HIV),,16367,15913
54,Measles,,14032,13605
54,Hepatitis,,11960,11703
54,Salmonella,,12058,11889
54,Dengue,,4048,3989
54,Tetanus,,5401,5276
54,COVID-19,,2470,2459
55,Lower Respiratory,,376667,369506
55,Diarrhea,,244130,238221
55,Tuberculosis,,179511,176294
55,HIV/AIDS,,135151,132900
55,Malaria,,108582,107654
55,Typhoid,,22525,21941
55,Whooping cough,,20300,20135
55,Encephalitis(brain inflammation),,15316,15079
55,STI(not including HIV),,16689,16367
55,Measles,,14285,14032
55,Hepatitis,,12209,11960
55,Salmonella,,12260,12058
55,Dengue,,4074,4048
55,Tetanus,,5480,5401
55,COVID-19,,2630,2470
56,Lower Respiratory,,382989,376667
56,Diarrhea,,249865,244130
56,Tuberculosis,,182747,179511
56,HIV/AIDS,,137519,135151
56,Malaria,,109621,108582
56,Typhoid,,23141,22525
56,Whooping cough,,20868,20300
56,Encephalitis(brain inflammation),,15542,15316
56,STI(not including HIV),,17113,16689
56,Measles,,14750,14285
56,Hepatitis,,12390,12209
56,Salmonella,,12595,12260
56,Dengue,,4108,4074
56,Tetanus,,5607,5480
56,COVID-19,,2710,2630
57,Lower Respiratory,,389998,382989
57,Diarrhea,,255938,249865
57,Tuberculosis,,186063,182747
57,HIV/AIDS,,139967,137519
57,Malaria,,110736,109621
57,Typhoid,,23491,23141
57,Whooping cough,,21387,20868
57,Encephalitis(brain inflammation),,15807,15542
57,STI(not including HIV),,17579,17113
57,Measles,,14968,14750
57,Hepatitis,,12643,12390
57,Salmonella,,12747,12595
57,Dengue,,4161,4108
57,Tetanus,,5686,5607
57,COVID-19,,2771,2710
58,Lower Respiratory,,396763,389998
58,Diarrhea,,260757,255938
58,Tuberculosis,,189469,186063
58,HIV/AIDS,,142306,139967
58,Malaria,,111567,110736
58,Typhoid,,24038,23491
58,Whooping cough,,21695,21387
58,Encephalitis(brain inflammation),,16095,15807
58,STI(not including HIV),,17744,17579
58,Measles,,15166,14968
58,Hepatitis,,12849,12643
58,Salmonella,,12972,12747
58,Dengue,,4255,4161
58,Tetanus,,5795,5686
58,COVID-19,,2814,2771
59,Lower Respiratory,,403432,396763
