country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Tajikistan,https://dynamospanish.com/wp-content/uploads/flags/images/Tajikistan/2/large/Tajikistan.png,401553,424637,449854,477269,506188,536088,567523,598588,631413,661100,686013,701303,694711,679693,656379,630611,604628,587493,575137,568889,569906,577885,591613,609559,629792,651289,672305,694724,717743,740692,763064,784496,805645
Tanzania,https://dynamospanish.com/wp-content/uploads/flags/images/Tanzania/2/large/Tanzania.png,1162570,1199257,1237670,1277639,1319137,1361310,1403595,1446499,1490364,1537706,1588123,1643552,1703584,1766143,1829334,1891272,1951449,1972747,1994960,2023538,2058905,2098619,2140603,2183632,2225456,2264998,2283983,2302282,2321445,2342575,2366848,2397628,2439218
Thailand,https://dynamospanish.com/wp-content/uploads/flags/images/Thailand/2/large/Thailand.png,7217641,7444219,7677453,7919565,8174321,8445905,8734347,9037179,9342881,9615813,9860394,10076990,10268617,10443847,10598647,10755519,10907236,10826059,10752212,10677515,10566834,10446435,10246600,10061158,9993371,9967910,9995370,10060559,10185335,10320763,10462808,10593538,10739255
Timor,https://dynamospanish.com/wp-content/uploads/flags/images/Timor-Leste/2/large/Timor-Leste.png,108929,109486,111984,115858,120251,124493,128289,131825,135400,139492,144322,150324,157102,163304,166973,167030,162728,155044,145820,138096,134280,135203,140048,147235,154451,159982,163384,165353,166547,168047,171292,174945,179232
Togo,https://dynamospanish.com/wp-content/uploads/flags/images/Togo/2/large/Togo.png,103864,106816,109954,113227,116658,120050,123379,126535,129681,132742,135586,138021,140003,141371,143174,145465,148434,151741,155441,159484,163746,168262,173004,178139,183472,189039,194989,201298,208003,214949,222273,229939,237982
Tonga,https://dynamospanish.com/wp-content/uploads/flags/images/Tonga/2/large/Tonga.png,17422,17493,17434,17324,17227,17214,17303,17477,17700,17905,18057,18132,18145,18125,18110,18139,18221,18360,18604,18900,19226,19572,19940,20358,20821,21733,22601,22707,22656,22512,22328,22168,22029
Trinidad & Tobago,https://dynamospanish.com/wp-content/uploads/flags/images/Trinidad_and_Tobago/2/large/Trinidad_and_Tobago.png,153215,149013,145850,145139,145470,146390,147877,149671,151782,153945,155923,157496,159286,161193,162265,162937,163640,163815,164200,165110,165829,167749,170400,171385,172616,173923,175011,176016,176833,178861,181116,183768,186373
Tunisia,https://dynamospanish.com/wp-content/uploads/flags/images/Tunisia/2/large/Tunisia.png,753532,783468,814461,846781,880837,916326,953124,991066,1030225,1069698,1109519,1149968,1190529,1230776,1270912,1311560,1353573,1418231,1482376,1544802,1604412,1660501,1698381,1732237,1763356,1793654,1825384,1859882,1897877,1936727,1975510,2014204,2044971
Turkey,https://dynamospanish.com/wp-content/uploads/flags/images/Turkey/2/large/Turkey.png,7361652,7530174,7724021,7933455,8154330,8383193,8609212,8809151,9031926,9279599,9503417,9762243,10023248,10272046,10622074,10969689,11318618,11735152,12125543,12539167,12906404,13342447,13751443,14134125,14565113,14845480,14868187,14798100,14703598,14712965,14566323,14497414,14488774
Turkmenistan,https://dynamospanish.com/wp-content/uploads/flags/images/Turkmenistan/2/large/Turkmenistan.png,342522,352891,363280,373463,383555,393568,402932,412271,421399,431700,442124,455003,471999,489569,511343,535471,558345,586459,612944,634172,650449,662382,671740,679065,684648,687678,690763,693970,696885,701849,707148,712926,720159
Tuvalu,https://dynamospanish.com/wp-content/uploads/flags/images/Tuvalu/2/large/Tuvalu.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Uganda,https://dynamospanish.com/wp-content/uploads/flags/images/Uganda/2/large/Uganda.png,809573,835945,863501,892346,923643,958012,995173,1034765,1075688,1117717,1160171,1203184,1246621,1289812,1332144,1374266,1416122,1430961,1445032,1459210,1474554,1489679,1472066,1454667,1440664,1429189,1421636,1413457,1404573,1398794,1399248,1409740,1456756
Ukraine,https://dynamospanish.com/wp-content/uploads/flags/images/Ukraine/2/large/Ukraine.png,12415648,12449443,12471873,12478838,12469770,12446918,12425245,12406218,12385568,12363752,12346844,12340879,12354007,12345333,12284476,12213444,12114227,12034684,12012517,12047812,12124597,12307585,12470746,12493235,12573594,12524440,12131522,11642168,11188894,10795382,10565737,10485257,10474520
United Arab Emirates,https://dynamospanish.com/wp-content/uploads/flags/images/UAE/2/large/UAE.png,143031,151336,156823,160892,165490,172025,180988,191917,204986,219533,235130,252150,270739,290264,309678,328643,342095,349253,354595,358930,363027,365445,368571,381618,421401,489986,592604,724334,869488,1005570,1116140,1195008,1244846
United Kingdom,https://dynamospanish.com/wp-content/uploads/flags/images/United_Kingdom/2/large/United_Kingdom.png,16434009,16278975,16038724,15748129,15451220,15128669,14777780,14414574,14055777,13780015,13572064,13449798,13352942,13296530,13268584,13267456,13264111,13223104,13164035,13074860,12922470,12761897,12579957,12303880,12008842,11718477,11392922,11057964,10786694,10582522,10407816,10326098,10355707
United States,https://dynamospanish.com/wp-content/uploads/flags/images/United_States_of_America/2/large/United_States_of_America.png,52232402,52230753,52559045,52516876,51771496,50935528,50109208,49421448,48696624,47937804,47292146,46901035,46356087,45681677,44931865,44486513,44253262,44144468,44047670,43801784,43417781,42955437,42503357,42134091,41991711,41858606,41642152,41208245,40705734,40190296,39506090,38783730,38325132
Uruguay,https://dynamospanish.com/wp-content/uploads/flags/images/Uruguay/2/large/Uruguay.png,637445,641267,645795,651374,657290,663604,669496,674862,680719,687473,695476,704487,710624,716232,720298,722708,722308,708924,698082,690425,684419,678372,672220,664580,649908,634737,620714,604913,591262,580974,580853,583545,588429
Uzbekistan,https://dynamospanish.com/wp-content/uploads/flags/images/Uzbekistan/2/large/Uzbekistan.png,933202,970987,1010198,1050219,1090048,1128786,1166522,1203251,1240852,1280138,1321698,1366121,1410098,1454453,1497412,1540412,1583917,1616913,1651021,1684014,1714273,1739380,1761589,1766931,1779492,1801190,1832919,1887440,1952108,2025016,2102482,2182634,2263776
Vanuatu,https://dynamospanish.com/wp-content/uploads/flags/images/Vanuatu/2/large/Vanuatu.png,14417,14763,15088,15379,15667,15982,16306,16658,17039,17464,17925,18446,19004,19582,20121,20589,20979,21328,21602,21762,21901,22094,22347,22690,23078,23467,23863,24242,24701,25109,24990,24860,25254
Vatican,https://dynamospanish.com/wp-content/uploads/flags/images/Vatican_City/2/large/Vatican_City.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Venezuela,https://dynamospanish.com/wp-content/uploads/flags/images/Venezuela/2/large/Venezuela.png,2302070,2323859,2327707,2289978,2264781,2243123,2246329,2264961,2305277,2311485,2337962,2390501,2456951,2520200,2568477,2626864,2686606,2736725,2784362,2814922,2856345,2906608,2937488,2951735,3001684,3069210,3118803,3182288,3255984,3311280,3355825,3421867,3530702
Vietnam,https://dynamospanish.com/wp-content/uploads/flags/images/Vietnam/2/large/Vietnam.png,8678587,9002559,9353216,9727920,10124467,10533429,10959613,11404278,11869213,12350011,12839422,13328212,13817655,14297001,14446937,14539126,14590543,14442160,14378346,14248455,14126647,14002280,13844907,13459244,13296300,13189657,13175898,13219662,13330130,13515037,13748889,14091375,14464714
Yemen,https://dynamospanish.com/wp-content/uploads/flags/images/Yemen/2/large/Yemen.png,813279,828801,847057,866642,887229,910229,933279,956611,985953,1026774,1079658,1152094,1238039,1332684,1423870,1502385,1564710,1582492,1594389,1606026,1617865,1628756,1634223,1577194,1531250,1499234,1529959,1578415,1642342,1719907,1804053,1906588,2017418
Zambia,https://dynamospanish.com/wp-content/uploads/flags/images/Zambia/2/large/Zambia.png,381862,392102,402531,413974,425153,436707,448016,460008,472417,484288,495861,507070,518027,529444,540621,553012,566447,577881,589503,600339,609767,617373,620853,616123,631444,652548,679278,709207,736308,763878,792719,822985,854674
Zimbabwe,https://dynamospanish.com/wp-content/uploads/flags/images/Zimbabwe/2/large/Zimbabwe.png,491356,506488,523222,541334,560558,580638,601239,622283,643066,662410,679641,694041,705675,715795,725476,735497,746347,762272,776076,786396,793598,798383,801574,805529,820406,834811,840209,839424,839607,845442,860929,888279,929016
