country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,17.827,17.951,17.9,17.627,17.611,17.180999999999997,14.627,11.829,9.118,9.152000000000001,8.693,9.103,9.218,8.521,8.265,8.513,8.484,8.527000000000001,10.158999999999999,10.304,10.205,9.731,12.19,10.581,8.78,12.964,12.892999999999999,11.967,13.275,12.446,10.417,12.175999999999998,13.15,12.325999999999999
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.7009999999999998,2.0349999999999997,2.068,2.3200000000000003,2.562,2.869,3.29,3.547,3.7651000000000003,3.9793999999999996,4.9894,6.3178,7.5571,8.6611,9.4731,10.3891,12.4681,13.7411,13.7411
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.631,0.674,0.7110000000000001,0.7229999999999999,0.7529999999999999,0.7870999999999999,0.8481000000000001,0.8591,0.8741,0.8611,0.8983,0.8691,0.861,0.8920000000000001,0.911,0.93,0.9530000000000001,1.0210000000000001,1.096
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,49.394,48.948,53.016000000000005,53.49100000000001,53.358999999999995,54.27680272,57.97940691,57.63529982,60.98231106,65.53552633,64.41392651,69.09025026,69.14546802,70.43595428,69.40708052,70.47378245,74.81195199,75.37179300000001,84.74040092,86.285214,70.83803269,82.66136594,81.68146384,77.80262833,72.54705279999999,81.05219538,73.6985886,70.47964794,71.39932504,68.21999621,68.79901496,68.81480395,67.08501694,70.17549790000001
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,343.48284900000004,362.225286,377.86744260000006,391.6284679,406.13967189999994,420.751,455.555,463.639,472.707,476.86800000000005,494.274,513.398,504.77,511.276,525.806,539.9540000000001,549.531,559.064,566.8380000000001,574.054,576.062,574.869,569.768,573.812,535.937,569.29,564.985,564.475,573.846,564.154,570.323,556.184,554.0746533,574.1695406
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","",1.2770000000000001,1.345,1.429,1.4649999999999999,1.484,1.513,1.609,1.6800000000000002,1.778,1.8010000000000002,1.865,1.9620000000000002,2.081,2.023,1.9180000000000001,2.0460000000000003,2.2439999999999998,2.191,2.191
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.111,0.127,0.142,0.158,0.174,0.192,0.20400000000000001,0.217,0.229,0.2301,0.2333,0.24459999999999998,0.2541,0.2481,0.2671,0.2821,0.2981,0.3031,0.3031
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","",7.271,6.798,7.16,7.057,6.811999999999999,7.143000000000001,7.116,8.173,8.304,8.415,9.985,9.977,9.475,9.869,10.166,10.605,11.347000000000001,11.305,11.925999999999998
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,522.534,523.557,532.442,549.492,559.873,549.9,540.222,538.1657,527.118,528.4692,536.821,552.669,552.3240000000001,557.217,556.3009999999999,576.556,586.4115,586.688,608.78,617.4652,622.575,639.5665,640.578,640.686,595.624,633.0930000000001,613.070326,630.149,638.73,627.7651017999999,648.1492806,650.707344,653.6547,643.45
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","",7.1339999999999995,7.7330000000000005,7.107,5.726,5.878,6.676,8.213999999999999,6.756,8.149000000000001,8.78,9.923,10.922,11.722000000000001,12.527000000000001,12.624,11.113,9.622,13.526,13.526
