country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lebanon,Asia & the Pacific,https://cdn.countryflags.com/thumbs/lebanon/flag-button-round-250.png,"","","","","","","","","","","","","","","",2392,2398,2642,2730,2579,2498,2300,2386,2638,2696,2990,2964,2525,2791,2697,2758,2730,2793,2777
Lesotho,Africa,https://cdn.countryflags.com/thumbs/lesotho/flag-button-round-250.png,"","","","","","","","","","","","","","","",141,139,154,161,148,229,263,278,293,325,347,244,241,253,254,257,242,239,237
Liberia,Africa,https://cdn.countryflags.com/thumbs/liberia/flag-button-round-250.png,"","","","","","","","","","","","","","","",70,67,66,64,63,62,60,72,69,66,64,69,67,65,64,64,82,85,83
Libya,Africa,https://cdn.countryflags.com/thumbs/libya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Liechtenstein,Europe,https://cdn.countryflags.com/thumbs/liechtenstein/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lithuania,Europe,https://cdn.countryflags.com/thumbs/lithuania/flag-button-round-250.png,5884,6237,6273,7107,7916,7685,7942,5072,3842,2739,3815,4658,4151,4959,3835,3262,4242,5143,5708,5700,4421,3778,4297,4360,4849,1840,1563,1655,1582,1479,1682,1476,1471,1256
Luxembourg,Europe,https://cdn.countryflags.com/thumbs/luxembourg/flag-button-round-250.png,2558,2765,2793,3565,3651,3604,3665,3063,2687,2853,3014,3033,3000,3041,2371,2674,3684,8330,8101,9141,9015,9299,8423,7334,7803,9037,7160,7188,5320,5342,4878,3795,3775,3740
Macao,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197493.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,Europe,https://cdn.countryflags.com/thumbs/macedonia/flag-button-round-250.png,"","","","","",2884,2895,3049,2610,2996,3092,3338,3366,3502,3390,3346,3114,2972,3282,3241,3369,3396,3146,3053,3300,3505,3262,3019,2935,2585,2715,2705,2689,2691
Madagascar,Africa,https://cdn.countryflags.com/thumbs/madagascar/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Malawi,Africa,https://cdn.countryflags.com/thumbs/malawi/flag-button-round-250.png,"","","","","","","","","","","","","","","",111,111,113,112,121,120,119,118,126,121,134,134,135,130,133,128,126,115,112
Malaysia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/malaysia/flag-button-round-250.png,958,1005,1054,1136,1227,1276,1433,1534,1649,1828,1799,2346,2663,2632,2763,2780,2956,3138,3132,3624,3659,3817,3876,3924,4012,4256,4218,4380,4664,4795,4861,5176,5216,5342
Maldives,Asia & the Pacific,https://cdn.countryflags.com/thumbs/maldives/flag-button-round-250.png,"","","","","","","","","","","","","","","",351,381,401,438,482,543,608,692,772,798,661,703,710,689,710,802,720,854,821
Mali,Africa,https://cdn.countryflags.com/thumbs/mali/flag-button-round-250.png,"","","","","","","","","","","","","","","",36,35,34,36,36,61,63,60,70,77,85,89,102,164,135,133,138,139,135
Malta,Europe,https://cdn.countryflags.com/thumbs/malta/flag-button-round-250.png,"","","","","","","","","","","","","","","",4865,4906,5142,5576,5498,5530,5568,5627,5652,5262,5105,5212,5435,5285,5220,3006,1969,3754,3746
Marshall Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/marshall-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mauritania,Africa,https://cdn.countryflags.com/thumbs/mauritania/flag-button-round-250.png,"","","","","","","","","","","","","","","",87,102,180,166,176,165,145,149,165,170,180,230,245,246,250,281,293,274,267
Mauritius,Africa,https://cdn.countryflags.com/thumbs/mauritius/flag-button-round-250.png,"","","","","","","","","","","","","","","",1418,1508,1531,1630,1685,1755,1802,1880,1967,1975,2056,2077,2125,2190,2224,2269,2296,2378,2373
Mexico,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/mexico/flag-button-round-250.png,1266,1283,1340,1389,1457,1400,1503,1519,1519,1620,1640,1681,1762,1884,1948,2058,2095,2121,2181,2252,2339,2382,2411,2430,2380,2415,2525,2527,2500,2520,2546,2597,2637,2632
Moldova,Europe,https://cdn.countryflags.com/thumbs/moldova/flag-button-round-250.png,"","","","","","","","","","","","","","","",1262,1346,1301,1345,1312,1354,1381,1344,1380,1426,1411,1337,1341,1044,1246,1400,1356,1153,1254
