country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",21531,40037,14034,31493,9421,20027,8728,11384,18507,15094,17160,4899,2159,10663,2835,4087,2248,5446,1983,2702,1855,4411,2307,2700,5497,3648,3657
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,35000,35000,18000,45000,15000,10000,18000,20000,20000,23000,25000,20000,20000,16800,27900,19810,10100,10040,14580,12000,16000,16000,16000,12000,15000,15000,12000,14000,15000,7000,5500,9000,8000,6700,7300,5800,10500,1900,2427,2749,2699,3153,2834,2675,3610,3261,3468,4282,4268,4262,5249,4807,4905,5211,6027,6401,6758,7196
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,2142000,5050000,2581000,3424000,3675000,2796000,3846000,3568000,3377000,3903000,2967000,2553000,3265000,2757000,3104000,2497000,1687000,3100000,2464000,2902000,1437000,1977000,1965000,2868000,2349000,2738000,2388000,2582000,2340000,2326000,1283211,2371861,2050983,2157952,2063809,1980069,2018979,1765375,2133296,2130274,1882109,1995306,1721662,1800177,1829166,1679328,1781947,1701752,1729615,1751269,1762640,1306333,1688158,1847551,1968628,1823123,1695949,1737412
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",215000,186000,237000,254900,215000,175900,131599,98222,82952,66363,64815,86320,76343,104269,32800,101300,41500,80700,21100,64300,45000,68600,82300,25700,65200,19700,82700
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,851000,2059000,2216000,1346000,1424000,1702000,2732000,1748000,2913000,1975000,2309000,1500000,2320000,1499477,2488968,1806949,1473564,2109260,2713069,2395094,1285644,3417125,2097458,2347783,2206203,2902106,1592954,3164425,2483089,2222019,780800,1377800,882400,879500,573300,878100,764600,977200,1036100,3136800,1779000,1471100,818032,979730,891402,947611,1070036,1046995,1070678,834960,898448,972405,803784,1115900,973462,1032913,596666,1198517
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
