Entity,Code,Date,Value
South America,SAM,"Jan 1, 2020",0
South America,SAM,"Jan 2, 2020",0
South America,SAM,"Jan 3, 2020",0
South America,SAM,"Jan 4, 2020",0
South America,SAM,"Jan 5, 2020",0
South America,SAM,"Jan 6, 2020",0
South America,SAM,"Jan 7, 2020",0
South America,SAM,"Jan 8, 2020",0
South America,SAM,"Jan 9, 2020",0
South America,SAM,"Jan 10, 2020",0
South America,SAM,"Jan 11, 2020",0
South America,SAM,"Jan 12, 2020",0
South America,SAM,"Jan 13, 2020",0
South America,SAM,"Jan 14, 2020",0
South America,SAM,"Jan 15, 2020",0
South America,SAM,"Jan 16, 2020",0
South America,SAM,"Jan 17, 2020",0
South America,SAM,"Jan 18, 2020",0
South America,SAM,"Jan 19, 2020",0
South America,SAM,"Jan 20, 2020",0
South America,SAM,"Jan 21, 2020",0
South America,SAM,"Jan 22, 2020",0
South America,SAM,"Jan 23, 2020",0
South America,SAM,"Jan 24, 2020",0
South America,SAM,"Jan 25, 2020",0
South America,SAM,"Jan 26, 2020",0
South America,SAM,"Jan 27, 2020",0
South America,SAM,"Jan 28, 2020",0
South America,SAM,"Jan 29, 2020",0
South America,SAM,"Jan 30, 2020",0
South America,SAM,"Jan 31, 2020",0
South America,SAM,"Feb 1, 2020",0
South America,SAM,"Feb 2, 2020",0
South America,SAM,"Feb 3, 2020",0
South America,SAM,"Feb 4, 2020",0
South America,SAM,"Feb 5, 2020",0
South America,SAM,"Feb 6, 2020",0
South America,SAM,"Feb 7, 2020",0
South America,SAM,"Feb 8, 2020",0
South America,SAM,"Feb 9, 2020",0
South America,SAM,"Feb 10, 2020",0
South America,SAM,"Feb 11, 2020",0
South America,SAM,"Feb 12, 2020",0
South America,SAM,"Feb 13, 2020",0
South America,SAM,"Feb 14, 2020",0
South America,SAM,"Feb 15, 2020",0
South America,SAM,"Feb 16, 2020",0
South America,SAM,"Feb 17, 2020",0
South America,SAM,"Feb 18, 2020",0
South America,SAM,"Feb 19, 2020",0
South America,SAM,"Feb 20, 2020",0
South America,SAM,"Feb 21, 2020",0
South America,SAM,"Feb 22, 2020",0
South America,SAM,"Feb 23, 2020",0
South America,SAM,"Feb 24, 2020",0
South America,SAM,"Feb 25, 2020",0
South America,SAM,"Feb 26, 2020",0
South America,SAM,"Feb 27, 2020",0
South America,SAM,"Feb 28, 2020",0
South America,SAM,"Feb 29, 2020",0
South America,SAM,"Mar 1, 2020",0
South America,SAM,"Mar 2, 2020",0
South America,SAM,"Mar 3, 2020",0
South America,SAM,"Mar 4, 2020",0
South America,SAM,"Mar 5, 2020",0
South America,SAM,"Mar 6, 2020",0
South America,SAM,"Mar 7, 2020",0
South America,SAM,"Mar 8, 2020",1
