country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ghana,https://dynamospanish.com/wp-content/uploads/flags/images/Ghana/2/large/Ghana.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,13,23,33,49,63,71,84,99,106,112,126,135,127
Gibraltar,https://dynamospanish.com/wp-content/uploads/flags/images/Gibraltar/2/large/Gibraltar.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,11,17,31,38,50,57,62,68,73,79,86,90,97,103,0,111,121,119,118
Greece,https://dynamospanish.com/wp-content/uploads/flags/images/Greece/2/large/Greece.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,18,35,53,71,83,79,82,90,96,108,120,116,107,106,117,110,107,112,112,115
Greenland,https://dynamospanish.com/wp-content/uploads/flags/images/Greenland/2/large/Greenland.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,11,15,24,26,28,35,52,68,81,94,116,98,94,101,103,105,107,107,108,0,0
Grenada,https://dynamospanish.com/wp-content/uploads/flags/images/Grenada/2/large/Grenada.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,41,42,45,44,49,57,109,116,115,123,125,110,112,110,104
Guatemala,https://dynamospanish.com/wp-content/uploads/flags/images/Guatemala/2/large/Guatemala.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,9,12,16,24,34,53,86,106,120,123,130,136,139,106,111,110,118
Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea/2/large/Guinea.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,19,26,33,37,44,49,64,73,89,87,0
Guinea-Bissau,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea_Bissau/2/large/Guinea_Bissau.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,20,33,36,43,45,64,55,64,69,70,77
Guyana,https://dynamospanish.com/wp-content/uploads/flags/images/Guyana/2/large/Guyana.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,18,22,37,53,72,59,65,75,70,72,73,74,70,75,82
Haiti,https://dynamospanish.com/wp-content/uploads/flags/images/Haiti/2/large/Haiti.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,12,26,32,37,40,41,59,68,64,68,59,59
