country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,6071065,6374711,7158346,6967555,8120372,8569970,8055714,9659952,11728355,11955320,12434625,13658542,15365712,13187712,13665850,15154042,15707319,15694561,15020775,14723750,15170559,16221739,16995499,17493501,18199335,19505093,20120178,20121748
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,1003935,1025920,1058895,1088207,1124847,1165151,1234767,1289728,1363007,1432624,1491248,1560864,1623152,1700095,1762383,1824671,1890623,1967567,1996879,2110464,2484192,2594112,2421904,2110464,2165424,2451216,2744335,3060145
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,2925078,3126976,3423346,3386369,3935519,4349780,4750416,5493187,6325946,7069760,7557158,8553239,9760134,8972745,8861573,9468272,9400598,10500772,10379028,9474171,9779068,9989365,11508330,11311024,11483335,11824010,11635556,11644473
Hong Kong,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197570.svg,77086749,84007734,89195080,98224806,110125644,119415076,117874937,134366454,115716475,101747583,104709492,109294217,96028363,90368688,80962125,88053581,91368020,77763459,88240306,83628593,89526926,80235340,113618164,122074489,124840453,119812950,116182335,119319311
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,87828976,88237060,75823661,77879042,76681381,76185647,74027248,72891289,73554800,72623719,70598509,73659332,77085336,82491791,78615584,77908164,83292335,81046297,80238427,68456214,69544258,68471939,63292631,62443644,61658870,63334688,63752214,66268488
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,615487622,652759266,686794095,706208971,743927494,777039755,824930767,871443054,886978848,957083579,950898040,965954443,964237713,1023270263,1079006162,1115519175,1198797040,1301998374,1429633661,1632503349,1611118097,1684377666,1832350109,1800058523,1985509187,2106542375,2176917951,2259676596
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,151011511,178597335,195808932,211633998,217454400,223693058,249727241,272809448,189777122,242706363,262626702,288636906,303841650,311667185,331206207,335485721,337779726,365457421,411495666,445065795,433859527,508862469,541012314,445576582,412709489,532717310,580522761,601014826
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,179499713,193228464,193697585,197129640,216916404,227916393,241179903,247334535,279045416,286866401,282418935,315143000,329828998,394715396,418480906,439397720,471486002,503315365,511982694,510336001,540639434,553899896,569153932,577947356,606270764,592269078,578776025,609697728
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ireland,Europe,https://cdn.countryflags.com/thumbs/ireland/flag-button-round-250.png,40743973,41760851,40519783,40662931,41403042,42654806,48951696,48998092,49386219,53497443,54668309,54930277,55650532,61250315,64582972,67780366,66976522,66444721,60628384,50833749,47880360,45685158,45022135,44585567,43591656,42538350,43776749,42340792
Israel,Asia & the Pacific,https://cdn.countryflags.com/thumbs/israel/flag-button-round-250.png,47815147,49243451,53726669,56106242,59766926,63312951,65941103,68690041,71160993,63923920,65970451,70004117,67718221,77258765,74234063,73031720,77678463,78330245,81871775,76969511,82472425,82961705,90046571,81374815,79741986,82092753,81131747,82428401
Italy,Europe,https://cdn.countryflags.com/thumbs/italy/flag-button-round-250.png,554195309,570175958,545846008,536368198,535611855,566535095,535241571,545540451,557637761,564756302,577530433,575231079,585499011,584929743,606036694,601283770,620039847,611466092,605974375,547740845,569595662,563316091,510103340,477987076,464450523,467533664,465543871,467857368
Jamaica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/jamaica/flag-button-round-250.png,6876887,6973874,6634619,7430493,7263356,8338706,7366747,8022260,9749088,9636784,7944016,10208616,8601143,9988895,9764293,10406341,11538289,10225544,10316399,7743986,7443378,8398061,8572758,8596537,8103085,8050903,8347674,8346653
Japan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/japan/flag-button-round-250.png,1308875301,1351284093,1358907098,1376320436,1450474238,1488429932,1496703480,1481290214,1393022357,1457825048,1510664189,1478603112,1489318010,1501043530,1493427712,1499659482,1478898424,1502139937,1460384149,1356061486,1412854885,1491936843,1536267111,1522676526,1473368988,1426846309,1405729271,1393114661
Jordan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/jordan/flag-button-round-250.png,17029578,15556963,16149536,16202516,17899234,18397036,15412170,18071197,18705555,17337760,16951805,20121080,21580935,21835829,24158018,26434150,25513504,25879287,28783556,31095969,27456734,28026350,27977465,33627276,34925608,34565962,33696841,34521970
Kazakhstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kazakhstan/flag-button-round-250.png,174931380,166433498,159197577,121533848,105466288,83502054,68923262,62033121,64313637,74327140,85422201,90194372,97009525,103966402,110077641,130522338,163336341,172145201,172344798,149963656,148967602,154776045,178122268,192174463,207456419,217230629,224319512,236957662
Kenya,Africa,https://cdn.countryflags.com/thumbs/kenya/flag-button-round-250.png,7733605,7180260,7816663,8629884,9293401,10383362,9419898,9544021,13423670,11817995,10216224,10593124,7409753,9480106,10697555,12145451,13781603,14161299,14816434,18444442,17590226,19347549,19192400,22478216,23509620,24946813,25732579,27256582
Kiribati,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kiribati/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Kuwait,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kuwait/flag-button-round-250.png,36119400,22400957,31098469,44509922,48673376,47793430,40456577,44187876,50742505,39493021,24824653,30622963,32788623,46811171,49827317,56809936,62114803,68280494,74607658,70563303,75205415,72641325,78760525,83472470,79181163,82416357,86943617,86030530
Kyrgyzstan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-button-round-250.png,17999310,17683563,14573662,11405683,9458594,9890663,8338302,5113457,10250623,5487604,4674434,3922441,4590736,5739007,6360143,7459574,9698088,7195895,7735118,12780250,11743594,12780973,15811446,15963851,16603045,16687354,16059874,16346630
Laos,Asia & the Pacific,https://cdn.countryflags.com/thumbs/laos/flag-button-round-250.png,765968,826562,875772,915062,979688,1097107,1130251,1086024,1133189,1080073,1688802,1491969,1709259,1609558,1694922,1706595,2388325,2562921,2969768,3784337,4232494,4986497,5746184,7399183,7660800,10579170,16127908,16457156
