country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,2,0,0,2,4,4,0,0,6,11,2,0,9,5,10
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,2,1,0,2,0,3,0,2,1,1,0,1,0,1,0,0,1
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,3,2,0,0,6,0,3,3,4,0
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",1,"",3,5,"","","",3,3,11,52,36,56,34,20,33,9,16,23,20,26,17,35,134,37,65,39,36,30,34,79,103
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,3,1,0,1,1,2,0,2,0,0,1,0,4,0,0,7,2,4,0,6
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,1,1,1,1,0,0,0,0,0,0,0,2,0,5
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,"",1,"",5,7,"",11,10,"",19,96,"",55,57,5,47,50,31,50,71,105,74,92,88,78,67,193,0,95,71,62,72,97
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,21,19,43,30,48,34,73,138,190,103,410,286,372,497,595,785,838,924,1210,1097,1404,1861,1617,1847,1559,3838,2446,2931,3922,3809,4611,2599,4376,7578,4861,2116,""
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,9,2,0,3
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"","",0,6,"",3,1,2,8,1,1,5,0,0,3,1,0,6,3,6,5,7,9,3,6,2,4,5,8,12,5,6,27
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,0,0,0,0,0,0,0,1,3,0,1,2,1,1,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,26,10,54,18,28,39,66,138,284,163,55,237,157,271,802,693,733,1043,1174,1144,1042,5940,4049,3276,3311,4438,2342,4954,5780,6294,3965,4751,4615,5453,6156,0,6174
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,"",0,0,4,0,1,4,5,5,3,3,26,15,64,5,4,11,0,0,43,9,1
