country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,"","","","","","","","","",0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.106,0.212,0.238,0.265,0.318,0.477,0.53,0.636,0.715,0.927,1.033,1.404,1.59,1.616,2.358,2.544,2.888,3.656,4.955,6.12,7.419,8.558,10.068,11.526,13.486,15.076,17.302,18.997,20.667,23.926,26.761,31.609,34.683,38.869,41.863,44.778,48.593,52.302,56.859,60.993,65.312,67.829,71.724,75.751,79.381,84.362,89.846
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","",1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,1.799,3.597
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.122,0.122,0.304,0.304
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","",0.052,0.105,0.105,0.157,0.209,0.262,0.314,0.366,0.418,0.628,0.837,0.942,1.151,1.412,1.779,1.936,2.249,2.511,2.982,3.4,3.819,4.185,4.29,4.813,4.917,5.493,6.068,6.591,6.957,7.271,7.69,8.37,8.788,9.102,9.468,9.887,10.358,10.829,11.299,11.875,12.241
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,1.995,2.025,2.047,2.073,2.094,2.115,2.134,2.153,2.169,2.181,2.196,2.204,2.209,2.219,2.225,2.234,2.241,2.252,2.257,2.26,2.264,2.268,2.275,2.28,2.282,2.286,2.29,2.292,2.296,2.297,2.299,2.3,2.304,2.311,2.314,2.316,2.317,2.317,2.318,2.32,2.321,2.323,2.323,2.324,2.324,2.325,2.325,3.221,3.221,3.221,3.221,3.221,3.221,3.221,3.221,3.221,3.221,3.222,3.222,3.222,3.222,3.222,3.222
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.02,0.039,0.059,0.059,0.079,0.118,0.118,0.118,0.197,0.275,0.314,0.334,0.373,0.491,0.629,0.688,0.904,0.983,1.081,1.356,1.572,1.965,2.142,2.201,2.496,2.575,2.83,3.007,3.262,3.518,3.714,3.852,4.049,4.225,4.422,4.579,4.776,4.972,5.287,5.464,5.758,6.171
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.362,0.362,0.544,0.544,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.087,1.45,1.45,1.45,1.45,1.631,1.631,1.812
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","",0.196,0.196,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.589,0.589,0.589,0.589,0.589,0.589,0.785,0.785,0.785,0.785,0.785,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.038,0.038,0.038,0.038,0.038,0.038,0.076,0.114,0.114,0.114,0.114,0.114,0.114,0.152,0.19,0.227,0.227,0.227,0.227,0.227,0.303,0.341,0.379,0.493,0.531,0.531,0.531,0.531,0.531,0.531,0.531,0.531,0.531,0.569
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","",0.244,0.244,0.487,0.731,1.218,1.462,1.462,1.462,1.462,1.705,1.949,2.923,3.654,3.897,4.385,4.628,4.872,5.115,5.115,5.603,6.09,7.551,8.282,8.526,8.769,9.5,11.449,11.449,11.692,11.692,12.179,12.423,13.154,13.397,14.372,15.346,16.32,16.808,18.269
