country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Grenada,https://dynamospanish.com/wp-content/uploads/flags/images/Grenada/2/large/Grenada.png,Latin America & the Caribbean,2461000,2456000,2477000,2440000,2400000,2379000,2397000,2324000,2251000,2220000,2291000,2307000,2313000,2378000,2370000,2400000,2395000,2426000,2434000,2432000,2424000,2440000,2447000
Guatemala,https://dynamospanish.com/wp-content/uploads/flags/images/Guatemala/2/large/Guatemala.png,Latin America & the Caribbean,2320000,2281000,2335000,2361000,2276000,2244000,2131000,2155000,2141000,2160000,2218000,2359000,2345000,2324000,2383000,2415000,2447000,2378000,2459000,2431000,2485000,2416000,2419000
Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea/2/large/Guinea.png,Africa,2421000,2449000,2432000,2412000,2377000,2352000,2293000,2263000,2323000,2359000,2330000,2357000,2400000,2426000,2443000,2503000,2505000,2534000,2546000,2550000,2546000,2561000,2566000
Guinea-Bissau,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea_Bissau/2/large/Guinea_Bissau.png,Africa,2319000,2373000,2307000,2340000,2336000,2251000,2185000,2152000,2160000,2250000,2275000,2272000,2227000,2257000,2273000,2253000,2293000,2304000,2278000,2346000,2336000,2331000,2292000
Guyana,https://dynamospanish.com/wp-content/uploads/flags/images/Guyana/2/large/Guyana.png,Latin America & the Caribbean,2367000,2414000,2462000,2534000,2583000,2590000,2675000,2676000,2677000,2733000,2758000,2730000,2711000,2686000,2687000,2660000,2660000,2599000,2623000,2643000,2637000,2728000,2764000
Haiti,https://dynamospanish.com/wp-content/uploads/flags/images/Haiti/2/large/Haiti.png,Latin America & the Caribbean,1754000,1724000,1715000,1703000,1761000,1809000,1839000,1920000,1956000,1958000,1897000,1902000,1872000,1889000,1884000,1942000,1970000,2014000,2060000,2169000,2097000,2084000,2091000
Honduras,https://dynamospanish.com/wp-content/uploads/flags/images/Honduras/2/large/Honduras.png,Latin America & the Caribbean,2277000,2321000,2329000,2355000,2389000,2409000,2404000,2410000,2396000,2369000,2452000,2474000,2482000,2480000,2490000,2530000,2569000,2603000,2596000,2596000,2624000,2629000,2641000
Hong Kong,https://dynamospanish.com/wp-content/uploads/flags/images/Hong_Kong/2/large/Hong_Kong.png,Asia & the Pacific,3187000,3093000,3158000,3208000,3252000,3162000,3127000,3037000,3053000,3049000,3082000,3125000,3179000,3208000,3224000,3246000,3246000,3241000,3255000,3256000,3259000,3281000,3290000
Hungary,https://dynamospanish.com/wp-content/uploads/flags/images/Hungary/2/large/Hungary.png,Europe,3205000,3282000,3105000,3026000,2949000,2928000,3008000,3008000,2999000,3172000,3094000,3075000,3061000,3192000,3270000,3278000,3164000,3149000,3140000,3062000,3064000,3009000,3037000
Iceland,https://dynamospanish.com/wp-content/uploads/flags/images/Iceland/2/large/Iceland.png,Europe,3117000,3106000,3086000,3124000,3111000,3032000,3108000,3117000,3160000,3152000,3148000,3214000,3236000,3290000,3323000,3401000,3458000,3428000,3394000,3341000,3348000,3396000,3380000
India,https://dynamospanish.com/wp-content/uploads/flags/images/India/2/large/India.png,Asia & the Pacific,2297000,2333000,2269000,2292000,2324000,2344000,2369000,2361000,2398000,2380000,2333000,2285000,2282000,2256000,2270000,2334000,2400000,2427000,2415000,2442000,2455000,2435000,2459000
Indonesia,https://dynamospanish.com/wp-content/uploads/flags/images/Indonesia/2/large/Indonesia.png,Asia & the Pacific,2356000,2416000,2431000,2471000,2552000,2548000,2498000,2486000,2467000,2436000,2424000,2451000,2468000,2471000,2468000,2483000,2522000,2544000,2603000,2651000,2712000,2770000,2777000
Iran,https://dynamospanish.com/wp-content/uploads/flags/images/Iran/2/large/Iran.png,Asia & the Pacific,2941000,3025000,3112000,3067000,3047000,3052000,3091000,3100000,3086000,3050000,3036000,3026000,3036000,3088000,3074000,3000000,3028000,3012000,3058000,3094000,3051000,3064000,3094000
Iraq,https://dynamospanish.com/wp-content/uploads/flags/images/Iraq/2/large/Iraq.png,Asia & the Pacific,2356000,2249000,2262000,2228000,2203000,2175000,2098000,2118000,2150000,2177000,2254000,2272000,2252000,2367000,2351000,2374000,2379000,2358000,2441000,2505000,2494000,2527000,2545000
